PhraseId	SentenceId	Phrase	Sentiment
1	1	series escapades demonstrating adage good goose also good gander occasionally amuses none amounts much story	1
2	1	series escapades demonstrating adage good goose	2
5	1	series	2
8	1	escapades demonstrating adage good goose	2
9	1	escapades	2
10	1	demonstrating adage good goose	2
11	1	demonstrating adage	2
12	1	demonstrating	2
15	1	adage	2
22	1	good goose	3
23	1	good	3
27	1	goose	2
29	1	also good gander occasionally amuses none amounts much story	2
31	1	also	2
32	1	good gander occasionally amuses none amounts much story	2
34	1	gander occasionally amuses none amounts much story	1
37	1	gander	2
44	1	occasionally amuses none amounts much story	2
45	1	occasionally	2
46	1	amuses none amounts much story	2
47	1	amuses	3
50	1	none amounts much story	1
51	1	none	2
54	1	amounts much story	2
55	1	amounts	2
58	1	much story	2
59	1	much	2
62	1	story	2
64	2	quiet introspective entertaining independent worth seeking	4
67	2	quiet introspective entertaining independent	4
68	2	quiet introspective entertaining	3
69	2	quiet	2
71	2	introspective entertaining	3
73	2	introspective	2
75	2	entertaining	4
76	2	independent	2
78	2	worth seeking	4
80	2	worth	2
81	2	seeking	2
82	3	even fans ismail merchant 's work suspect would hard time sitting one	1
83	3	even fans ismail merchant 's work	2
84	3	even fans	2
85	3	even	2
86	3	fans	3
88	3	ismail merchant 's work	2
89	3	ismail merchant 's	2
90	3	ismail	2
91	3	merchant 's	2
92	3	merchant	2
93	3	's	2
94	3	work	2
95	3	suspect would hard time sitting one	1
100	3	suspect	2
102	3	would hard time sitting one	0
103	3	would	2
106	3	hard time sitting one	1
108	3	hard time	1
109	3	hard	2
110	3	time	2
111	3	sitting one	1
112	3	sitting	2
116	3	one	2
118	4	positively thrilling combination ethnography intrigue betrayal deceit murder shakespearean tragedy juicy soap opera	4
119	4	positively thrilling combination ethnography intrigue betrayal deceit murder	4
121	4	positively thrilling combination	3
122	4	positively	3
123	4	thrilling combination	3
124	4	thrilling	4
125	4	combination	2
127	4	ethnography intrigue betrayal deceit murder	2
129	4	ethnography	2
133	4	intrigue betrayal deceit murder	2
134	4	intrigue	3
136	4	betrayal deceit murder	1
137	4	betrayal	2
139	4	deceit murder	1
141	4	deceit	1
142	4	murder	1
144	4	shakespearean tragedy juicy soap opera	2
147	4	shakespearean tragedy	2
148	4	shakespearean	2
149	4	tragedy	1
152	4	juicy soap opera	3
153	4	juicy	3
154	4	soap opera	1
155	4	soap	2
156	4	opera	2
158	5	aggressive self-glorification manipulative whitewash	0
159	5	aggressive	2
160	5	self-glorification manipulative whitewash	0
162	5	self-glorification	2
164	5	manipulative whitewash	1
165	5	manipulative	2
166	5	whitewash	2
167	6	comedy-drama nearly epic proportions rooted sincere performance title character undergoing midlife crisis	4
